Model,Train_R2,Test_R2,CV_R2_Mean,CV_R2_Std,MAE,RMSE,MAPE_%,Overfit
Lasso Regression,0.8622112531246481,0.8856516773064375,0.8563201019891569,0.04222216439024956,2307.805193655153,4213.36350750651,29.167370372396178,-0.023440424181789377
Ridge Regression,0.8622021508718591,0.885627637985129,0.8563286922276081,0.0421848080095205,2310.300698896828,4213.8063696053505,29.224723669042262,-0.02342548711326986
Linear Regression,0.862211496900233,0.8856203030430374,0.8562859006106885,0.042262290720857465,2308.2821803022766,4213.941487607761,29.180637930568782,-0.023408806142804384
XGBoost,0.9430877809972956,0.8744852025218887,0.824974169295464,0.04277534351833227,2341.6507030418315,4414.29644359366,30.91257568459908,0.06860257847540696
LightGBM,0.9063191915698611,0.8733258596346348,0.8352972035757528,0.04250868986066052,2500.1907545026825,4434.636355388545,34.47352833092127,0.032993331935226244
Extra Trees,0.948745024075528,0.8728819319261509,0.8285272695649295,0.0415808936883998,2378.3267812039394,4442.400119096656,29.878246641406076,0.07586309214937703
Random Forest,0.9581369926955051,0.8696590014534313,0.8275842766365302,0.04206880862494523,2388.136298405605,4498.36355641981,33.00492068913454,0.08847799124207378
Gradient Boosting,0.9674064577393288,0.862717990205147,0.8127934693852732,0.04442597306988011,2487.237205902409,4616.585088275982,33.19227963248454,0.10468846753418182
KNN,0.886203164813076,0.8607424440251619,0.8230639538291916,0.04200808409800454,2581.7409508992537,4649.683743625824,32.85748129711841,0.02546072078791417
SVR,0.8447171632600774,0.8529352156233148,0.8352470381181483,0.04396895699274783,1825.9174164133872,4778.244575321733,13.8175648577954,-0.00821805236323736
AdaBoost,0.8158796287867578,0.8075338099292177,0.7434154781973812,0.07452478168525728,4591.154033150198,5466.272209060166,90.26980363291993,0.008345818857540044
Decision Tree,0.959605506250485,0.7334916880855742,0.7220955112613809,0.07088911690547199,3259.245831928054,6432.346178240759,44.172672720979904,0.22611381816491083
